id_credito,fecha_originacion,id_cliente,nombre_cliente,industria,monto,plazo_meses,canal,estatus_primer_pago
CRED-00032,2026-06-22,CLI-73040,Abraham Morales,Alimentos y Bebidas,959694.84,3,Sucursal,Tardío
CRED-00033,2026-05-14,CLI-95154,Isabel Negrón,Agricultura,2378609.58,18,Web,Tardío
CRED-00034,2026-06-07,CLI-67828,Helena Esperanza Barrera Córdova,Servicios,2201028.81,12,Call Center,Tardío
CRED-00035,2026-06-12,CLI-40314,María Ponce,Alimentos y Bebidas,197734.38,18,Web,A Tiempo
CRED-00036,2026-06-01,CLI-81294,Ing. Hermelinda Menéndez,Transporte,3852234.33,60,Web,A Tiempo
CRED-00037,2026-05-05,CLI-15435,Tomás Cortés,Educación,3378290.29,60,App Móvil,A Tiempo
CRED-00038,2026-05-12,CLI-33740,Joaquín Gabriel Cordero,Alimentos y Bebidas,4528272.65,3,App Móvil,A Tiempo
CRED-00039,2026-04-21,CLI-64933,Porfirio Zeferino Beltrán Canales,Transporte,4632182.11,3,App Móvil,A Tiempo
CRED-00001,2026-07-02,CLI-24038,Ing. Víctor Balderas,Tecnología,4275601.84,18,Call Center,A Tiempo
CRED-00041,2026-05-26,CLI-00947,Sra. Úrsula Villareal,Transporte,2014490.88,36,Call Center,Tardío
CRED-00042,2026-05-24,CLI-78080,Frida Garza Iglesias,Transporte,4920315.57,60,Web,A Tiempo
CRED-00043,2026-07-11,CLI-79608,Dr. Amador Ozuna,Servicios,933331.03,48,Promotor,A Tiempo
CRED-00038,2026-07-11,CLI-72980,Ing. Yolanda Limón,Transporte,2926023.01,12,App Móvil,A Tiempo
CRED-00045,2026-07-03,CLI-73631,Ing. Federico Lebrón,Educación,1883831.98,24,App Móvil,A Tiempo
CRED-00046,2026-04-20,CLI-60155,José Carlos Altamirano Tapia,Salud,3109326.01,6,App Móvil,A Tiempo
CRED-00047,2026-06-17,CLI-97190,Ing. Nelly Córdova,Servicios,2101790.51,6,Promotor,A Tiempo
CRED-00048,2026-07-03,CLI-91327,Julio César Leonel Montez,Construcción,1896722.46,36,Sucursal,A Tiempo
CRED-00049,2026-05-30,CLI-54746,Benjamín Loera Bueno,Tecnología,1074464.85,6,Web,Tardío
CRED-00050,2026-06-11,CLI-13107,Lourdes Salazar,Agricultura,1282695.98,36,Call Center,A Tiempo
CRED-00051,2026-04-19,CLI-71256,Arcelia Hernandes Carrero,Transporte,662552.85,9,Call Center,A Tiempo
CRED-00052,2026-07-08,CLI-44123,Minerva Amaya Ceballos,Alimentos y Bebidas,1494157.23,18,App Móvil,Tardío
CRED-00053,2026-07-06,CLI-71416,Georgina Beatriz Montañez Hinojosa,Manufactura,2428245.56,48,Sucursal,A Tiempo
CRED-00054,2026-07-12,CLI-34012,Óscar Abel Mateo,Comercio,2108106.15,3,Call Center,A Tiempo
CRED-00055,2026-06-29,CLI-38956,Sr. Abraham Aguayo,Salud,990688.02,36,Promotor,A Tiempo
CRED-00056,2026-06-20,CLI-94234,Ing. Mariano Archuleta,Alimentos y Bebidas,4791784.23,3,Sucursal,A Tiempo
CRED-00057,2026-07-05,CLI-22374,Natividad Menéndez Zaragoza,Educación,4358983.35,60,Sucursal,A Tiempo
CRED-00058,2026-04-23,CLI-46474,Daniel Elias Gollum Jaimes,Comercio,1450228.66,18,Sucursal,Tardío
CRED-00059,2026-05-21,CLI-03665,María José María Eugenia Escalante Ferrer,Agricultura,1264102.57,48,Call Center,A Tiempo
CRED-00060,2026-06-18,CLI-31049,Sra. Liliana León,Tecnología,4941559.21,60,Sucursal,A Tiempo
CRED-00061,2026-06-06,CLI-19317,Homero Héctor Griego,Agricultura,3638533.79,48,Web,A Tiempo
CRED-00062,,CLI-07526,Mónica Nelly Cepeda,Comercio,1635834.08,9,Sucursal,A Tiempo
CRED-00063,2026-04-26,CLI-49174,Fernando Armenta,Servicios,4097999.55,12,Call Center,A Tiempo
CRED-00064,2026-06-16,CLI-67518,Javier Óscar Lovato,Salud,811850.71,18,Web,A Tiempo
CRED-00065,2026-07-13,CLI-51261,Amador Luna Chacón,Manufactura,1472880.23,24,Web,Tardío
CRED-00066,2026-05-31,CLI-03047,José Cordero,Comercio,2251458.77,18,Web,Tardío
CRED-00067,2026-07-02,CLI-35084,Sr. Cristian Benavides,Salud,3719997.57,12,Promotor,A Tiempo
,2026-07-07,CLI-18250,Darío Gallegos Corrales,Construcción,-3141422.68,12,App Móvil,A Tiempo
CRED-00069,2026-06-20,CLI-63555,Lic. Catalina Caldera,Comercio,3803689.07,18,Sucursal,A Tiempo
CRED-00070,2026-05-05,CLI-71819,Felix Vaca Corrales,Comercio,1374437.38,9,Sucursal,A Tiempo
CRED-00071,2026-06-22,CLI-88198,Antonio Javier Figueroa,Agricultura,,60,App Móvil,A Tiempo
CRED-00072,2026-05-04,CLI-83266,Camila Martínez Vélez,Servicios,2292485.81,12,App Móvil,A Tiempo
CRED-00073,2026-07-06,CLI-94149,Marisol Emilia de la Fuente,Comercio,280817.51,18,App Móvil,A Tiempo
CRED-00074,2026-04-28,CLI-42996,Dalia Gaona,Comercio,3756550.43,3,Call Center,Tardío
CRED-00075,2026-05-22,CLI-39932,Dulce Malave,Educación,2705999.88,18,Sucursal,A Tiempo
CRED-00076,2026-06-07,CLI-41131,Rufino Miguel Ángel Nazario Puga,Educación,368804.83,48,Promotor,Tardío
CRED-00077,2026-06-27,CLI-04374,Daniel Clemente Espinosa Arreola,Servicios,-1501428.36,48,App Móvil,A Tiempo
CRED-00078,2026-05-26,CLI-44216,Dr. Rubén Terrazas,Agricultura,2913931.69,60,Web,A Tiempo
CRED-00079,2026-05-30,CLI-26787,Mayte Lilia Robledo Carrión,Salud,-1615076.43,60,Sucursal,A Tiempo
CRED-00080,2026-05-11,CLI-51963,Margarita Cazares Casares,Tecnología,1975276.39,24,Web,A Tiempo
CRED-00081,2026-04-30,CLI-45829,Claudio Zeferino Vergara Mireles,Manufactura,1389020.54,3,App Móvil,A Tiempo
CRED-00082,2026-05-21,CLI-13588,Sra. Sara Aguirre,Transporte,2424689.87,3,Promotor,A Tiempo
CRED-00083,2026-05-14,CLI-34191,Jacinto Humberto Mateo,Comercio,2200861.06,3,Promotor,A Tiempo
CRED-00084,2026-05-29,CLI-17868,Mauro Sevilla Batista,Comercio,4945603.05,6,Sucursal,A Tiempo
CRED-00085,2026-04-19,CLI-94942,Srita. Pilar Arias,Tecnología,2255542.2,24,Call Center,A Tiempo
CRED-00086,2026-07-04,CLI-44357,Renato Rafaél Moreno Merino,Educación,3573079.49,18,Web,A Tiempo
CRED-00087,2026-04-28,CLI-72084,Dr. Wilfrido Casares,Educación,3503777.69,18,App Móvil,Tardío
CRED-00088,2026-06-20,CLI-16087,Wendolin Cristina Villagómez Ávalos,Tecnología,2855990.48,24,Sucursal,A Tiempo
CRED-00089,2026-04-30,CLI-97055,Gloria Campos,Transporte,3065413.82,24,Sucursal,A Tiempo
CRED-00090,2026-06-05,CLI-18875,Jaime Elizondo,Transporte,2049754.42,6,Web,A Tiempo
CRED-00091,2026-07-16,CLI-98159,Lucía Durán,Construcción,1507958.5,60,Web,A Tiempo
CRED-00092,2026-05-27,CLI-51986,Bianca Eva Escobedo de la Crúz,Alimentos y Bebidas,4999805.79,48,App Móvil,A Tiempo
CRED-00093,2026-07-11,CLI-25137,Sra. Luisa Archuleta,Alimentos y Bebidas,4441411.08,36,Sucursal,A Tiempo
CRED-00094,2026-04-29,CLI-93504,Jacinto David Carrión Camarillo,Servicios,1290186.52,18,Promotor,A Tiempo
CRED-00095,2026-06-01,CLI-55022,Paulina Lucía Rolón Sánchez,Transporte,747631.85,9,Promotor,A Tiempo
CRED-00096,2026-04-29,CLI-16497,Ing. Eloy Nieto,Transporte,2174917.15,6,Call Center,Tardío
CRED-00097,2026-06-17,CLI-35118,Teodoro Suárez Velasco,Agricultura,1872972.41,18,Call Center,A Tiempo
CRED-00098,2026-06-08,CLI-11930,Georgina Guerra Quiñones,Educación,-3349226.23,48,Sucursal,A Tiempo
CRED-00099,2026-07-02,CLI-57684,Dr. Eloy Rael,Educación,2599656.0,48,App Móvil,A Tiempo
CRED-00100,2026-06-12,CLI-32289,Emiliano León,Transporte,4171352.43,36,Call Center,A Tiempo
CRED-00101,2026-06-17,CLI-05218,Ing. Alfredo Galarza,Alimentos y Bebidas,396818.77,60,App Móvil,A Tiempo
CRED-00102,2026-05-21,CLI-39333,Carlota Alma Malave,Educación,837745.37,48,Sucursal,A Tiempo
CRED-00103,2026-05-27,CLI-13006,Ing. Javier Moreno,Manufactura,3043540.07,6,Call Center,A Tiempo
,2026-05-29,CLI-58598,Oswaldo Rafaél Tamez,Agricultura,1881873.76,60,App Móvil,A Tiempo
CRED-00105,2026-05-16,CLI-20689,Itzel Lorena Burgos Castillo,Salud,4645813.45,12,App Móvil,A Tiempo
CRED-00106,2026-05-24,CLI-55700,Minerva Villalpando Valverde,Salud,2689064.7,60,Call Center,A Tiempo
CRED-00107,2026-05-21,CLI-14865,Lic. Rolando Véliz,Alimentos y Bebidas,912401.93,48,Sucursal,A Tiempo
CRED-00108,2026-05-29,CLI-47155,José Eduardo Mauro Garrido Montes,Agricultura,4297008.94,6,Promotor,Tardío
CRED-00109,2026-04-22,CLI-88756,Porfirio Ortega Calderón,Comercio,3317895.7,12,Call Center,A Tiempo
CRED-00110,2026-05-28,CLI-54451,Srita. Úrsula Arreola,Construcción,1543136.87,48,App Móvil,A Tiempo
CRED-00111,2026-05-17,CLI-51360,Reina Ocampo Pulido,Agricultura,1211140.46,36,App Móvil,A Tiempo
CRED-00112,2026-06-23,CLI-79488,Marisol Micaela Fuentes Armas,Transporte,401778.06,36,Sucursal,Tardío
CRED-00113,2026-06-04,CLI-71835,Dr. Ramiro Aguilera,Alimentos y Bebidas,2961569.52,3,Call Center,A Tiempo
CRED-00114,2026-06-26,CLI-06744,Sofía Olivia Arenas Carmona,Tecnología,4656709.12,9,Web,A Tiempo
CRED-00115,2026-05-04,CLI-30174,René Gregorio Meraz,Comercio,175864.53,12,Web,A Tiempo
CRED-00116,2026-05-13,CLI-61554,Amanda Irene Rocha Cervántez,Agricultura,148633.05,48,Call Center,Tardío
CRED-00117,,CLI-52878,Daniel Padrón,Agricultura,1845301.34,18,App Móvil,A Tiempo
CRED-00118,2026-05-04,CLI-33811,Luis Tórrez,Servicios,-935668.26,60,Promotor,Tardío
CRED-00119,2026-05-06,CLI-59535,Leonardo Renato Espinosa,Servicios,319052.21,36,App Móvil,Tardío
CRED-00120,2026-07-07,CLI-48914,Ing. Linda Jaimes,Educación,350210.13,60,Sucursal,A Tiempo
CRED-00121,2026-06-05,CLI-75656,Elsa Uribe,Tecnología,1076444.28,36,Promotor,Tardío
CRED-00122,2026-04-18,CLI-66317,Juan Jaime,Alimentos y Bebidas,4689301.12,18,Promotor,Tardío
CRED-00123,2026-07-14,CLI-52341,Manuel Rodríquez,Manufactura,384879.03,24,Call Center,A Tiempo
CRED-00124,2026-05-05,CLI-89129,Sofía Arevalo,Salud,4398230.16,6,Call Center,A Tiempo
CRED-00125,2026-06-21,CLI-52981,Alfredo Mauricio de Anda Olivas,Construcción,342661.57,12,Web,A Tiempo
CRED-00126,2026-06-05,CLI-54944,Espartaco Aragón Tórrez,Educación,1572112.02,6,App Móvil,A Tiempo
CRED-00127,2026-05-26,CLI-71437,Ángel Javier Marroquín,Construcción,2429169.82,9,Call Center,A Tiempo
CRED-00128,2026-06-19,CLI-06126,Serafín Iván Segura Fernández,Alimentos y Bebidas,953418.44,36,Sucursal,Tardío
CRED-00129,2026-05-30,CLI-70528,Ing. Modesto Lira,Transporte,950876.78,18,App Móvil,A Tiempo
CRED-00130,2026-05-15,CLI-78700,Sr. Rolando López,Salud,1201684.35,60,Web,A Tiempo
CRED-00131,2026-06-26,CLI-49368,Dra. Paulina Macías,Tecnología,1301244.56,6,Call Center,A Tiempo
CRED-00132,2026-07-04,CLI-17130,Cristal Luisa Manzanares,Agricultura,3690699.94,6,App Móvil,A Tiempo
CRED-00133,2026-06-30,CLI-31583,Trinidad Trinidad Mojica Rivas,Salud,1933573.99,3,Web,A Tiempo
CRED-00134,2026-07-15,CLI-81500,José Arturo Roldán,Tecnología,3868409.73,18,Promotor,A Tiempo
CRED-00135,2026-06-04,CLI-45814,Cristobal José Carlos Villarreal Barajas,Alimentos y Bebidas,4198139.26,18,App Móvil,A Tiempo
CRED-00136,2026-07-13,CLI-30089,Rebeca Diana Valentín,Salud,3823032.1,3,Promotor,A Tiempo
,2026-06-20,CLI-09335,Pedro Clemente Arteaga Carrero,Construcción,1926725.22,12,Call Center,A Tiempo
CRED-00138,2026-05-05,CLI-78234,Adela Casárez Acosta,Manufactura,1719198.58,24,Sucursal,A Tiempo
CRED-00139,2026-06-22,CLI-72781,Carlos Serafín Gaitán Ojeda,Alimentos y Bebidas,675306.73,12,App Móvil,A Tiempo
CRED-00140,,CLI-57983,Marcos Fidel Arroyo Rosario,Alimentos y Bebidas,723624.19,60,Sucursal,A Tiempo
CRED-00141,2026-04-28,CLI-32022,Mariana Montez,Construcción,4402451.42,9,App Móvil,A Tiempo
CRED-00142,2026-04-25,CLI-44336,Fidel Nájera Negrete,Servicios,3648899.97,36,Web,A Tiempo
CRED-00143,2026-07-07,CLI-00588,Adalberto Puga,Manufactura,3301491.61,12,App Móvil,Tardío
CRED-00144,2026-05-01,CLI-84740,Jonás Cristobal Zedillo,Construcción,4043506.28,3,Web,Tardío
CRED-00145,2026-07-02,CLI-96571,Itzel Trujillo Quiñones,Salud,2339088.35,60,Call Center,Tardío
CRED-00146,2026-05-28,CLI-78344,Ing. Cornelio Hidalgo,Agricultura,3370056.83,60,Sucursal,A Tiempo
CRED-00147,2026-06-02,CLI-19650,Ing. Estela Pérez,Salud,4371329.29,6,Sucursal,A Tiempo
CRED-00148,2026-04-17,CLI-29203,Ana Luisa Campos,Alimentos y Bebidas,242926.73,48,Sucursal,A Tiempo
CRED-00149,2026-06-16,CLI-22675,Virginia Ramírez,Comercio,3668571.25,36,App Móvil,A Tiempo
CRED-00150,2026-07-09,CLI-52594,Caridad Zayas Velásquez,Manufactura,3547698.03,48,App Móvil,A Tiempo
CRED-00151,2026-06-21,CLI-56212,Reynaldo Leonel Alfaro Saldivar,Alimentos y Bebidas,1518280.37,6,Promotor,A Tiempo
CRED-00152,2026-06-29,CLI-77364,Modesto Urías Toro,Tecnología,4011156.81,12,App Móvil,Tardío
CRED-00153,2026-04-28,CLI-80993,David Cornelio Lugo,Servicios,801391.96,3,Call Center,A Tiempo
CRED-00154,2026-06-13,CLI-23592,Ing. José María Marrero,Servicios,3748504.5,48,Sucursal,Tardío
CRED-00155,2026-04-28,CLI-09408,Rodolfo Germán Chacón Montez,Transporte,1141960.59,12,Sucursal,Tardío
CRED-00156,2026-05-18,CLI-62920,Omar Mariano Ruiz,Transporte,4559133.66,6,Promotor,A Tiempo
CRED-00157,2026-04-30,CLI-99819,Abel Gabriel Brito,Comercio,1651651.95,60,Call Center,Tardío
CRED-00158,2026-04-26,CLI-61076,Sra. Eloisa Aranda,Servicios,1435803.46,48,Promotor,A Tiempo
CRED-00159,2026-05-20,CLI-47814,Yeni Frida Abrego,Agricultura,3135264.12,24,Sucursal,A Tiempo
CRED-00160,2026-06-18,CLI-06166,Nadia Abril Romero Arenas,Manufactura,3256942.79,6,Sucursal,Tardío
CRED-00161,2026-05-03,CLI-60045,Rufino Daniel Alarcón,Alimentos y Bebidas,490601.2,9,Call Center,A Tiempo
CRED-00162,2026-06-22,CLI-25950,Leonor Mariana Tamez Zedillo,Agricultura,4332275.29,12,Web,A Tiempo
CRED-00163,2026-06-09,CLI-18691,Berta Antonia Gurule Arredondo,Agricultura,4525819.21,12,Web,A Tiempo
CRED-00164,2026-04-27,CLI-33188,Marcos de la Fuente,Alimentos y Bebidas,1546607.69,36,Sucursal,A Tiempo
CRED-00165,2026-06-15,CLI-54759,Julio Barraza Pacheco,Manufactura,132618.8,12,Call Center,Tardío
CRED-00166,2026-04-23,CLI-07353,Dr. Ernesto Bustos,Servicios,3148115.21,36,Promotor,A Tiempo
CRED-00167,2026-06-14,CLI-51175,Gilberto Ramón Cardenas,Alimentos y Bebidas,1690406.9,9,Promotor,Tardío
CRED-00168,2026-07-06,CLI-28367,Teodoro Portillo,Tecnología,1722481.36,9,App Móvil,A Tiempo
CRED-00169,2026-05-16,CLI-28147,Raquel Jaqueline de la Crúz,Agricultura,1644959.37,24,App Móvil,Tardío
CRED-00170,2026-05-10,CLI-87002,Florencia Villegas,Servicios,3327624.16,6,Sucursal,A Tiempo
CRED-00171,2026-05-31,CLI-39529,Alejandro González Henríquez,Tecnología,2089981.44,60,Web,A Tiempo
CRED-00172,2026-06-13,CLI-17863,Zeferino Nicolás Riojas Quintero,Salud,431330.93,18,Call Center,A Tiempo
CRED-00173,2026-05-08,CLI-42465,Gilberto Ernesto Salcedo Loya,Educación,1306889.86,3,Web,A Tiempo
CRED-00174,2026-07-09,CLI-60332,Humberto Aurelio Lerma,Comercio,1508429.54,6,Web,Tardío
CRED-00175,2026-05-07,CLI-13539,Roberto Francisco Javier Bueno Garza,Agricultura,902580.36,9,Sucursal,A Tiempo
CRED-00176,2026-07-09,CLI-73340,Alta  Gracia Crespo Téllez,Agricultura,3767299.65,3,Promotor,A Tiempo
CRED-00177,2026-05-24,CLI-53524,Carmen Marisela Maya,Comercio,3752655.68,48,Sucursal,A Tiempo
CRED-00178,2026-07-16,CLI-19518,Srita. Verónica Saldivar,Servicios,2326285.27,24,Sucursal,A Tiempo
CRED-00179,2026-07-11,CLI-94278,Dr. Arturo Cuellar,Construcción,3324550.89,9,App Móvil,A Tiempo
CRED-00180,2026-06-21,CLI-02109,Fidel Zedillo Mena,Educación,3516607.95,9,Web,A Tiempo
CRED-00181,2026-07-12,CLI-22565,Concepción Amanda Aguirre,Educación,4395393.24,48,Call Center,Tardío
CRED-00182,2026-06-28,CLI-82145,Rufino Miguel Arenas,Agricultura,199680.89,3,Call Center,A Tiempo
CRED-00183,2026-06-21,CLI-30699,Sr. Eugenio Acuña,Educación,1701208.2,6,Call Center,A Tiempo
CRED-00184,2026-05-21,CLI-79712,Enrique Rivero,Alimentos y Bebidas,1830158.01,9,Web,A Tiempo
CRED-00185,,CLI-62536,Porfirio Cristian Tamayo Gaitán,Salud,3586966.3,24,Call Center,A Tiempo
CRED-00186,2026-06-04,CLI-55651,Genaro Octavio Navarrete Curiel,Agricultura,12691.35,12,Call Center,A Tiempo
,2026-06-12,CLI-25554,Gregorio Omar Gallardo,Salud,4061323.52,18,Sucursal,A Tiempo
CRED-00188,2026-06-26,CLI-86966,Iván Laureano Barela,Salud,936557.35,12,Call Center,A Tiempo
CRED-00189,2026-05-19,CLI-43269,Liliana Anaya,Salud,3998654.01,48,Web,Tardío
CRED-00190,2026-07-12,CLI-38593,Dra. Araceli Estévez,Tecnología,682967.91,6,Call Center,A Tiempo
CRED-00191,2026-06-02,CLI-99597,Natalia Noemí Maya,Tecnología,3601131.53,60,Web,Tardío
CRED-00192,2026-07-05,CLI-16939,Martín Benjamín Nava Crespo,Comercio,1064731.72,60,App Móvil,A Tiempo
CRED-00193,2026-05-16,CLI-59007,Jesús Jesús Luevano Adame,Construcción,3901166.09,18,App Móvil,A Tiempo
CRED-00194,2026-05-16,CLI-32465,Dr. Esteban Carbajal,Alimentos y Bebidas,3876131.96,48,Web,A Tiempo
CRED-00195,2026-07-13,CLI-27877,Ofelia Esmeralda Carranza,Manufactura,1440115.31,9,App Móvil,A Tiempo
CRED-00196,2024-02-30,CLI-47825,Julio Escobar Grijalva,Comercio,-750665.48,3,Web,Tardío
CRED-00197,2026-04-22,CLI-64674,Dra. Carla Marroquín,Servicios,3497211.81,6,Promotor,A Tiempo
CRED-00198,2026-05-25,CLI-18159,Jesús Carrión Benítez,Tecnología,4247942.59,3,Promotor,Tardío
CRED-00199,2026-04-24,CLI-98137,Federico Flórez Leiva,Transporte,2689003.19,24,Sucursal,A Tiempo
CRED-00200,2026-05-09,CLI-13739,Rosalia Citlali Anaya,Salud,4088546.68,9,Sucursal,Tardío
CRED-00201,2026-05-27,CLI-64376,Cristobal Figueroa Mejía,Agricultura,3682507.48,3,Promotor,A Tiempo
CRED-00202,2026-06-30,CLI-81912,Sergio Lozada Aparicio,Transporte,1074670.35,48,Sucursal,A Tiempo
CRED-00203,2026-05-05,CLI-93814,Horacio Sánchez Otero,Educación,2527069.99,48,Web,A Tiempo
CRED-00204,2026-07-16,CLI-59860,Elisa Vázquez Almonte,Construcción,4242573.67,9,App Móvil,A Tiempo
CRED-00205,2026-07-10,CLI-74613,Lic. Serafín Zambrano,Alimentos y Bebidas,1195064.73,48,Sucursal,A Tiempo
CRED-00206,2026-05-03,CLI-21413,Alvaro Arias Negrete,Transporte,1638253.7,24,App Móvil,A Tiempo
CRED-00207,2026-04-20,CLI-69632,Antonio Evelio Adame Sáenz,Comercio,385512.91,12,Promotor,A Tiempo
CRED-00208,2026-04-22,CLI-66773,Ing. Óscar Rentería,Manufactura,4983879.66,3,App Móvil,A Tiempo
CRED-00209,2026-04-23,CLI-76490,Helena Marcela Vela,Agricultura,338860.43,60,App Móvil,A Tiempo
CRED-00210,2026-06-11,CLI-38182,Ing. Norma Cadena,Transporte,1815377.26,36,Sucursal,A Tiempo
CRED-00211,,CLI-15597,Eloy Ledesma,Agricultura,4989195.16,36,Web,A Tiempo
CRED-00212,2026-04-20,CLI-98007,Clara Laureano,Tecnología,3308808.09,9,Sucursal,A Tiempo
CRED-00213,2026-04-17,CLI-68601,Angélica Badillo Badillo,Construcción,3401859.52,6,Promotor,A Tiempo
CRED-00214,2026-05-12,CLI-79082,Antonia Limón,Agricultura,1055584.78,3,Web,A Tiempo
CRED-00215,2026-06-04,CLI-95282,Guillermo Villegas Espinosa,Comercio,2020877.35,6,Sucursal,A Tiempo
CRED-00216,2026-07-10,CLI-98725,Lic. Hernán Naranjo,Alimentos y Bebidas,74600.85,36,Promotor,A Tiempo
CRED-00217,2026-05-25,CLI-07523,Mateo Escobedo Pantoja,Salud,2979761.48,48,App Móvil,Tardío
CRED-00218,2026-05-29,CLI-15205,Natividad Estévez Pulido,Tecnología,1452587.08,48,Promotor,A Tiempo
CRED-00219,2026-07-01,CLI-77450,Tania Lozano,Tecnología,2279998.92,24,Promotor,A Tiempo
CRED-00220,2026-05-23,CLI-80664,José Gabino Ureña,Construcción,4835061.16,3,App Móvil,A Tiempo
CRED-00221,2026-07-11,CLI-71738,Irma Marrero,Agricultura,3386690.58,36,App Móvil,A Tiempo
CRED-00222,2026-07-12,CLI-92606,Sra. Ruby Balderas,Transporte,3293822.61,36,App Móvil,A Tiempo
CRED-00223,16/06/2024,CLI-57657,Lic. Ariadna Flórez,Transporte,562664.15,48,Call Center,A Tiempo
CRED-00224,2026-07-16,CLI-20558,Dra. Leonor Córdova,Comercio,,48,Call Center,A Tiempo
CRED-00225,2026-07-11,CLI-99962,Frida Abril Adame Salazar,Manufactura,3502801.36,6,Web,Tardío
CRED-00226,2026-06-13,CLI-89687,Hugo Reynaldo Solano Ledesma,Construcción,1235062.22,18,Call Center,Tardío
CRED-00227,2026-04-24,CLI-81730,Lic. Renato Verduzco,Agricultura,2605643.8,36,Promotor,A Tiempo
CRED-00228,2026-04-28,CLI-61472,Nadia Maldonado Griego,Agricultura,4093814.28,3,App Móvil,A Tiempo
CRED-00229,2026-04-29,CLI-29258,Alberto Wilfrido Raya Velázquez,Manufactura,3946469.33,12,Call Center,A Tiempo
CRED-00230,2026-04-28,CLI-26772,Ivonne Teresa Medrano Ocampo,Alimentos y Bebidas,1308425.26,24,Call Center,A Tiempo
CRED-00231,2026-06-27,CLI-01178,Nayeli Rubio,Manufactura,1364713.3,36,Sucursal,A Tiempo
CRED-00232,2026-04-25,CLI-84398,César Laureano Muro,Salud,2639242.19,48,Sucursal,A Tiempo
CRED-00233,2026-06-24,CLI-53115,Gilberto Carlos Franco Garibay,Educación,1309343.16,9,Promotor,A Tiempo
